originapt,destapt,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,fare_lg
BKG,ATL,20092,0,5850,"Branson, Missouri","Atlanta, Georgia, USA",535,45.4945055,118.4201449,FL,118.4201449
BKG,DFW,20092,0,23210,"Branson, Missouri","Dallas/Ft.Worth, Texas, USA",332,11.64835165,83.14254717,SY,83.14254717
BKG,MKE,20092,0,57850,"Branson, Missouri","Milwaukee, Wisconsin, USA",525,25.82417582,73.05382979,FL,73.05382979
BKG,MSP,20092,0,57970,"Branson, Missouri","Minneapolis/St.Paul, Minnesota, USA",576,30.54945055,90.6805036,SY,89.62362264
ABI,ATL,20092,300,5850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,12.1978022,194.1227027,AA,187.7234259
ABI,BWI,20092,300,7220,"Abilene, Texas, USA","Baltimore, Maryland, USA",1370,10.54945055,321.8625,AA,324.5740426
ABI,ORD,20092,300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,15.93406593,224.8737931,AA,224.8737931
ABI,DFW,20092,300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,30.32967033,126.5163044,AA,126.5163044
ABI,IAH,20092,300,37320,"Abilene, Texas, USA","Houston, Texas, USA",323,19.45054945,165.829322,AA,160.0403012
ABI,LAS,20092,300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,13.73626374,225.2248,AA,220.6235246
ABI,LGA,20092,300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,11.97802198,293.7746789,AA,299.4975
ABI,MCO,20092,300,66600,"Abilene, Texas, USA","Orlando, Florida, USA",1128,14.17582418,187.2334109,AA,187.7892188
CAK,ABQ,20092,1270,1680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,20.65934066,145.1753723,F9,137.5608553
CAK,ATL,20092,1270,5850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,411.7582418,118.9090472,FL,110.4489084
CAK,AUS,20092,1270,6100,"Akron/Canton, Ohio, USA","Austin, Texas, USA",1172,13.51648352,195.1150407,DL,208.4898214
CAK,BOS,20092,1270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,230.3296703,105.3325668,FL,102.739527
CAK,CHS,20092,1270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,36.92307692,146.8639286,FL,138.5544444
CAK,CLT,20092,1270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,93.18681319,156.3581486,US,172.1295669
CAK,ORD,20092,1270,18500,"Akron/Canton, Ohio, USA","Chicago, Illinois, USA",344,40.32967033,182.8449319,UA,182.7976946
CAK,COS,20092,1270,20410,"Akron/Canton, Ohio, USA","Colorado Springs, Colorado, USA",1242,15.38461539,135.9018571,F9,130.8119588
CAK,DFW,20092,1270,23210,"Akron/Canton, Ohio, USA","Dallas/Ft.Worth, Texas, USA",1023,47.58241758,173.3018476,DL,168.0722156
CAK,DAB,20092,1270,23700,"Akron/Canton, Ohio, USA","Daytona Beach, Florida, USA",809,15.05494506,146.7743796,DL,142.8825263
CAK,DEN,20092,1270,24090,"Akron/Canton, Ohio, USA","Denver, Colorado, USA",1224,205.8241758,152.1714896,F9,150.2422581
CAK,FLL,20092,1270,29420,"Akron/Canton, Ohio, USA","Ft. Lauderdale, Florida, USA",1026,66.15384615,156.4229568,FL,149.9614096
CAK,RSW,20092,1270,29540,"Akron/Canton, Ohio, USA","Ft. Myers, Florida, USA",991,154.3956044,150.6394875,FL,150.2400985
CAK,GSO,20092,1270,33460,"Akron/Canton, Ohio, USA","Greensboro/High Point, Nc, USA",342,16.59340659,156.6603974,US,166.9824074
CAK,IAH,20092,1270,37320,"Akron/Canton, Ohio, USA","Houston, Texas, USA",1100,61.31868132,157.3768459,DL,158.41125
CAK,JAX,20092,1270,40140,"Akron/Canton, Ohio, USA","Jacksonville, Florida, USA",719,31.64835165,171.8481597,FL,162.1386726
CAK,MCI,20092,1270,42650,"Akron/Canton, Ohio, USA","Kansas City, Missouri, USA",711,13.73626374,170.21248,NW,167.1575758
CAK,LAS,20092,1270,48880,"Akron/Canton, Ohio, USA","Las Vegas, Nevada, USA",1846,108.6813187,156.1880182,FL,149.4631922
CAK,LAX,20092,1270,51410,"Akron/Canton, Ohio, USA","Los Angeles, California, USA",2073,41.86813187,208.0968242,UA,221.3877778
CAK,MEM,20092,1270,57180,"Akron/Canton, Ohio, USA","Memphis, Tennessee, USA",617,21.31868132,192.2860825,FL,151.5228125
CAK,MIA,20092,1270,57560,"Akron/Canton, Ohio, USA","Miami, Florida, USA",1044,41.53846154,150.8390741,FL,142.4452874
CAK,MKE,20092,1270,57850,"Akron/Canton, Ohio, USA","Milwaukee, Wisconsin, USA",361,12.52747253,117.7354386,NW,112.4167123
CAK,MSP,20092,1270,57970,"Akron/Canton, Ohio, USA","Minneapolis/St.Paul, Minnesota, USA",657,15.82417582,227.5199306,NW,241.1135185
CAK,BNA,20092,1270,62860,"Akron/Canton, Ohio, USA","Nashville, Tennessee, USA",435,13.18681319,146.9034167,NW,136.4928
CAK,MSY,20092,1270,63580,"Akron/Canton, Ohio, USA","New Orleans, Louisiana, USA",901,36.04395604,155.0045427,DL,152.2424306
CAK,LGA,20092,1270,63760,"Akron/Canton, Ohio, USA","New York, New York, USA",402,380.2197802,105.9604133,FL,103.7546541
CAK,ORF,20092,1270,64500,"Akron/Canton, Ohio, USA","Norfolk, Virginia, USA",396,20.43956044,138.1873656,US,141.6366452
CAK,OKC,20092,1270,65840,"Akron/Canton, Ohio, USA","Oklahoma City, Oklahoma, USA",957,10.65934066,226.2652577,DL,267.6423404
CAK,MCO,20092,1270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,321.8681319,129.9293855,FL,128.0163387
CAK,PNS,20092,1270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,24.17582418,175.2229091,FL,159.8205073
CAK,PHL,20092,1270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,42.63736264,200.6011856,US,217.6023667
CAK,PHX,20092,1270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,67.8021978,172.8242464,F9,154.7112108
CAK,PWM,20092,1270,71760,"Akron/Canton, Ohio, USA","Portland, Maine, USA",601,12.96703297,124.9778814,US,128.7723288
CAK,PDX,20092,1270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,20,216.1474176,F9,190.8319444
CAK,PVD,20092,1270,73020,"Akron/Canton, Ohio, USA","Providence, Rhode Island, USA",524,10.32967033,148.5826596,US,153.4926471
CAK,RDU,20092,1270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,17.47252747,147.5347799,US,155.7360674
CAK,RIC,20092,1270,75820,"Akron/Canton, Ohio, USA","Richmond, Virginia, USA",323,10.54945055,134.7215625,US,133.4827778
CAK,SMF,20092,1270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,17.03296703,225.8770968,F9,177.6055738
CAK,SAT,20092,1270,79360,"Akron/Canton, Ohio, USA","San Antonio, Texas, USA",1238,23.40659341,162.8774648,FL,140.845579
CAK,SAN,20092,1270,79520,"Akron/Canton, Ohio, USA","San Diego, California, USA",2045,32.74725275,197.4827517,F9,170.4851754
CAK,SFO,20092,1270,79830,"Akron/Canton, Ohio, USA","San Francisco, California, USA",2187,35.38461539,200.0929503,F9,184.4720732
CAK,SJC,20092,1270,80050,"Akron/Canton, Ohio, USA","San Jose, California, USA",2169,10.32967033,222.7321277,F9,197.3811364
CAK,SNA,20092,1270,80650,"Akron/Canton, Ohio, USA","Santa Ana, California, USA",2052,18.02197802,212.1564634,F9,194.6358333
CAK,SRQ,20092,1270,82080,"Akron/Canton, Ohio, USA","Sarasota/Bradenton, Florida, USA",934,26.92307692,151.4566122,FL,137.5968908
CAK,SAV,20092,1270,82340,"Akron/Canton, Ohio, USA","Savannah, Georgia, USA",606,27.14285714,188.4517814,DL,184.5734711
CAK,SEA,20092,1270,82630,"Akron/Canton, Ohio, USA","Seattle, Washington, USA",2055,39.12087912,195.938427,F9,177.7854128
CAK,TPA,20092,1270,87870,"Akron/Canton, Ohio, USA","Tampa, Florida, USA",894,311.7582418,121.188227,FL,118.7287327
CAK,TUS,20092,1270,91940,"Akron/Canton, Ohio, USA","Tucson, Arizona, USA",1740,10.65934066,198.1001031,F9,156.9219643
CAK,DCA,20092,1270,96460,"Akron/Canton, Ohio, USA","Washington, D.C., USA",274,35.38461539,148.3081367,US,142.1383099
CAK,PBI,20092,1270,97160,"Akron/Canton, Ohio, USA","West Palm Beach, Florida, USA",984,34.06593407,158.124,DL,161.8496154
CAK,ILM,20092,1270,97780,"Akron/Canton, Ohio, USA","Wilmington, North Carolina, USA",498,13.40659341,145.4859016,US,145.2613131
ABY,LGA,20092,1540,63760,"Albany, Georgia, USA","New York, New York, USA",859,11.97802198,222.1679817,DL,209.3663107
ABY,IAD,20092,1540,96460,"Albany, Georgia, USA","Washington, D.C., USA",647,16.81318681,259.1599346,DL,259.3669444
ALB,ABQ,20092,1580,1680,"Albany, New York, USA","Albuquerque, New Mexico, USA",1833,39.78021978,219.4750553,WN,233.9325294
