State,City,County,Ownership,Use,LocationID,SiteNumber,ARPLatitude,ARPLongitude
AK,ADAK ISLAND,ALEUTIANS WEST,PU,PU,ADK,50009.*A,51-52-40.6700N,176-38-45.7100W
AK,AKHIOK,KODIAK ISLAND,PU,PU,AKK,50016.1*A,56-56-19.2870N,154-10-57.2000W
AK,AKIACHAK,BETHEL,PU,PU,Z13,50017.*A,60-54-49.7200N,161-29-35.9900W
AK,AKIACHAK,BETHEL,PU,PU,KKI,50017.1*C,60-54-28.3130N,161-26-06.2780W
AK,AKIAK,BETHEL,PU,PU,AKI,50020.*A,60-54-10.4000N,161-13-50.1000W
AK,AKUTAN,ALEUTIANS EAST,PU,PU,KQA,50022.*C,54-08-02.0400N,165-46-42.1800W
AK,AKUTAN,ALEUTIANS EAST,PU,PU,7AK,50022.1*A,54-08-40.6000N,165-36-14.8000W
AK,ALAKANUK,WADE HAMPTON,PU,PU,AUK,50024.1*A,62-40-59.0000N,164-43-19.9000W
AK,ALEKNAGIK,BRISTOL BAY,PR,PU,Z33,50027.52*C,59-16-26.3210N,158-37-24.9210W
AK,ALEKNAGIK,BRISTOL BAY,PU,PU,5A8,50027.53*A,59-16-57.2000N,158-37-04.3200W
AK,ALEKNAGIK,BRISTOL BAY,PR,PR,4AK7,50027.6*A,59-16-51.3240N,158-35-49.9210W
AK,ALEKNAGIK,BRISTOL BAY,PU,PU,Z25,50027.51*A,59-15-47.3250N,158-33-27.9190W
AK,ALLAKAKET,YUKON-KOYUKUK,PU,PU,6A8,50029.1*A,66-33-06.6000N,152-37-19.8000W
AK,AMBLER,NORTHWEST ARCTIC,PU,PU,AFM,50029.61*A,67-06-22.7300N,157-51-26.9000W
AK,AMERICAN CREEK,YUKON-KOYUKUK,PU,PU,80A,50031.*A,65-06-06.1880N,151-10-38.9290W
AK,AMOOK BAY,KODIAK ISLAND,PR,PR,AK81,50031.5*C,57-28-17.3770N,153-48-55.2980W
AK,ANAKTUVUK PASS,YUKON-KOYUKUK,PU,PU,AKP,50032.*A,68-08-01.0000N,151-44-36.0000W
AK,ANCHOR POINT,KENAI PENINSULA,PR,PR,AK00,50037.3*A,59-47-48.0000N,151-51-48.0000W
AK,ANCHOR POINT,SEWARD,PR,PR,00AK,50037.31*A,59-51-22.0000N,151-41-46.5500W
AK,ANCHORAGE,ANCHORAGE,PU,PU,2OK,50033.1*H,61-12-42.8000N,149-49-38.5300W
AK,ANCHORAGE,ANCHORAGE,PU,PU,A13,50033.5*A,61-20-28.8200N,148-59-55.9700W
AK,ANCHORAGE,ANCHORAGE,PU,PR,CSR,50033.*A,61-09-31.3200N,149-46-50.2000W
AK,ANCHORAGE,ANCHORAGE,PU,PR,AK82,50033.2*H,61-09-22.0700N,149-47-32.2800W
AK,ANCHORAGE,ANCHORAGE,PR,PU,3C3,50035.2*C,61-07-59.0200N,149-56-30.8400W
AK,ANCHORAGE,ANCHORAGE,MA,PR,EDF,50036.*A,61-15-04.8500N,149-48-23.4500W
AK,ANCHORAGE,ANCHORAGE,MA,PR,AK91,50036.01*H,61-14-23.0230N,149-44-57.9280W
AK,ANCHORAGE,ANCHORAGE,PU,PR,6AK5,50036.02*A,61-10-06.0140N,150-09-37.9930W
AK,ANCHORAGE,ANCHORAGE,PR,PR,AK12,50033.4*A,61-06-23.7600N,149-51-51.3700W
AK,ANCHORAGE,ANCHORAGE,PU,PU,LHD,50037.*C,61-10-53.8827N,149-57-59.3670W
AK,ANCHORAGE,ANCHORAGE,PU,PU,MRI,50035.*A,61-12-48.7622N,149-50-41.0069W
AK,ANCHORAGE,ANCHORAGE,PR,PR,AK38,50033.01*H,61-11-20.5100N,149-49-18.5900W
AK,ANCHORAGE,ALEUTIAN ISLANDS,PR,PR,AA06,50033.02*A,61-17-23.0000N,149-48-22.0000W
