originapt,destapt,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,fare_lg
ABR,MSP,20082,210,57970,"Aberdeen, South Dakota, USA","Minneapolis/St.Paul, Minnesota, USA",257,10.98901099,304.3738,NW,304.3738
ABI,ATL,20082,300,5850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,13.95604396,231.6355906,AA,225.795124
ABI,BWI,20082,300,7220,"Abilene, Texas, USA","Baltimore, Maryland, USA",1370,10.10989011,363.1377174,AA,359.3077907
ABI,ORD,20082,300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,12.96703297,227.2242373,AA,228.6865179
ABI,DFW,20082,300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,29.56043956,110.0111896,AA,110.0111896
ABI,DEN,20082,300,24090,"Abilene, Texas, USA","Denver, Colorado, USA",584,10,198.2341758,AA,192.1135803
ABI,IAH,20082,300,37320,"Abilene, Texas, USA","Houston, Texas, USA",323,11.64835165,169.1214151,AA,184.944026
ABI,LAS,20082,300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,14.17582418,247.1071318,AA,242.9481667
ABI,LAX,20082,300,51410,"Abilene, Texas, USA","Los Angeles, California, USA",1089,10.54945055,263.75,AA,257.8315714
ABI,LGA,20082,300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,13.73626374,265.53264,AA,264.8253623
ABI,MCO,20082,300,66600,"Abilene, Texas, USA","Orlando, Florida, USA",1128,17.8021978,201.3228395,AA,191.5989333
ABI,IAD,20082,300,96460,"Abilene, Texas, USA","Washington, D.C., USA",1345,12.41758242,289.5255752,AA,279.4203884
CAK,ABQ,20082,1270,1680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,18.9010989,188.2704651,F9,182.1790625
CAK,ATL,20082,1270,5850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,431.4285714,149.4280922,FL,137.1534116
CAK,AUS,20082,1270,6100,"Akron/Canton, Ohio, USA","Austin, Texas, USA",1172,10.98901099,231.2327,DL,232.1939506
CAK,BHM,20082,1270,11030,"Akron/Canton, Ohio, USA","Birmingham, Alabama, USA",585,10.54945055,269.1686458,US,262.7504255
CAK,BOS,20082,1270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,267.8021978,113.4058966,FL,110.2171203
CAK,CHS,20082,1270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,34.06593407,166.1685807,FL,158.7568966
CAK,CLT,20082,1270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,90.98901099,192.0148188,US,217.9265876
CAK,ORD,20082,1270,18500,"Akron/Canton, Ohio, USA","Chicago, Illinois, USA",344,65.16483517,183.7884654,UA,182.0257818
CAK,DFW,20082,1270,23210,"Akron/Canton, Ohio, USA","Dallas/Ft.Worth, Texas, USA",1023,58.68131868,179.5045318,DL,184.8890079
CAK,DAB,20082,1270,23700,"Akron/Canton, Ohio, USA","Daytona Beach, Florida, USA",809,22.30769231,157.5784237,DL,150.1942308
CAK,DEN,20082,1270,24090,"Akron/Canton, Ohio, USA","Denver, Colorado, USA",1224,209.3406593,161.9650131,F9,154.7719477
CAK,FLL,20082,1270,29420,"Akron/Canton, Ohio, USA","Ft. Lauderdale, Florida, USA",1026,59.45054945,172.6613494,FL,164.0215041
CAK,RSW,20082,1270,29540,"Akron/Canton, Ohio, USA","Ft. Myers, Florida, USA",991,84.61538462,159.4390649,FL,157.4614367
CAK,GSO,20082,1270,33460,"Akron/Canton, Ohio, USA","Greensboro/High Point, Nc, USA",342,12.30769231,176.08,US,195.9764444
CAK,GPT,20082,1270,34290,"Akron/Canton, Ohio, USA","Gulfport/Biloxi, Mississippi, USA",841,13.2967033,185.7339669,FL,169.9274286
CAK,IAH,20082,1270,37320,"Akron/Canton, Ohio, USA","Houston, Texas, USA",1100,50.98901099,195.6712285,DL,184.7322936
CAK,JAX,20082,1270,40140,"Akron/Canton, Ohio, USA","Jacksonville, Florida, USA",719,46.26373626,166.6333254,FL,161.6389773
CAK,MCI,20082,1270,42650,"Akron/Canton, Ohio, USA","Kansas City, Missouri, USA",711,12.52747253,209.3987719,DL,209.4783784
CAK,LAS,20082,1270,48880,"Akron/Canton, Ohio, USA","Las Vegas, Nevada, USA",1846,114.6153846,163.307373,F9,153.0418328
CAK,LAX,20082,1270,51410,"Akron/Canton, Ohio, USA","Los Angeles, California, USA",2073,54.28571429,220.602085,DL,217.3788525
CAK,MEM,20082,1270,57180,"Akron/Canton, Ohio, USA","Memphis, Tennessee, USA",617,24.94505495,211.4728634,DL,225.7206667
CAK,MIA,20082,1270,57560,"Akron/Canton, Ohio, USA","Miami, Florida, USA",1044,26.48351648,189.8026971,DL,184.0216964
CAK,MKE,20082,1270,57850,"Akron/Canton, Ohio, USA","Milwaukee, Wisconsin, USA",361,11.64835165,165.3279245,NW,170.9489286
CAK,MSP,20082,1270,57970,"Akron/Canton, Ohio, USA","Minneapolis/St.Paul, Minnesota, USA",657,14.17582418,329.8415504,UA,327.559434
CAK,MYR,20082,1270,61830,"Akron/Canton, Ohio, USA","Myrtle Beach, South Carolina, USA",518,23.73626374,226.6718982,US,223.5947312
CAK,BNA,20082,1270,62860,"Akron/Canton, Ohio, USA","Nashville, Tennessee, USA",435,15.6043956,167.7733803,NW,133.5005556
CAK,MSY,20082,1270,63580,"Akron/Canton, Ohio, USA","New Orleans, Louisiana, USA",901,22.96703297,205.3711005,FL,182.5102222
CAK,LGA,20082,1270,63760,"Akron/Canton, Ohio, USA","New York, New York, USA",402,378.5714286,117.3912975,FL,114.3726339
CAK,MCO,20082,1270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,276.5934066,139.8179738,FL,134.2282476
CAK,PNS,20082,1270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,38.57142857,170.6270655,FL,163.1807937
CAK,PHL,20082,1270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,37.03296703,220.1846291,US,281.4145506
CAK,PHX,20082,1270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,62.08791209,188.532354,F9,165.654557
CAK,PDX,20082,1270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,23.62637363,234.4883721,F9,224.5293976
CAK,RDU,20082,1270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,16.7032967,173.4766447,DL,184.460566
CAK,SMF,20082,1270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,16.81318681,219.2526797,F9,195.9569565
