originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
ABR,MSP,Table 6,20084,00210,57970,"Aberdeen, South Dakota, USA","Minneapolis/St.Paul, Minnesota, USA",257,10.217391304,239.77202128,NW,98.936170213,238.75344086,NW,98.936170213,238.75344086,1
ABI,ATL,Table 6,20084,00300,05850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,10.760869565,220.2610101,AA,91.919191919,219.93604396,AA,91.919191919,219.93604396,2
ABI,ORD,Table 6,20084,00300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,11.630434783,234.36205607,AA,94.392523364,231.65514851,AA,94.392523364,231.65514851,3
ABI,DFW,Table 6,20084,00300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,27.391304348,121.95472222,AA,100,121.95472222,AA,100,121.95472222,4
ABI,IAH,Table 6,20084,00300,37320,"Abilene, Texas, USA","Houston, Texas, USA",323,18.260869565,180.91059524,AA,93.452380952,177.87382166,AA,93.452380952,177.87382166,5
ABI,LAS,Table 6,20084,00300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,14.456521739,285.6962406,AA,98.496240602,276.31022901,AA,98.496240602,276.31022901,6
ABI,BNA,Table 6,20084,00300,62860,"Abilene, Texas, USA","Nashville, Tennessee, USA",786,10.760869565,216.88868687,AA,98.98989899,217.30153061,AA,98.98989899,217.30153061,7
ABI,LGA,Table 6,20084,00300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,12.391304348,252.38605263,AA,94.736842105,251.88101852,AA,94.736842105,251.88101852,8
ABI,MCO,Table 6,20084,00300,66600,"Abilene, Texas, USA","Orlando, Florida, USA",1128,10.543478261,222.47969072,AA,98.969072165,221.59427083,AA,98.969072165,221.59427083,9
CAK,ABQ,Table 6,20084,01270,01680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,12.065217391,212.5445045,F9,48.648648649,188.56111111,F9,48.648648649,188.56111111,10
CAK,ATL,Table 6,20084,01270,05850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,463.26086957,134.64786485,FL,63.467855467,128.13602588,FL,63.467855467,128.13602588,11
CAK,AUS,Table 6,20084,01270,06100,"Akron/Canton, Ohio, USA","Austin, Texas, USA",1172,14.239130435,211.29160305,DL,71.755725191,207.68925532,US,17.557251908,194.75304348,12
CAK,BHM,Table 6,20084,01270,11030,"Akron/Canton, Ohio, USA","Birmingham, Alabama, USA",585,11.195652174,208.74834951,DL,50.485436893,224.10730769,NW,14.563106796,145.13066667,13
CAK,BOS,Table 6,20084,01270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,182.60869565,126.18376786,FL,86.25,122.37452726,FL,86.25,122.37452726,14
CAK,CHS,Table 6,20084,01270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,26.956521739,174.33016129,US,46.774193548,183.25534483,FL,31.048387097,160.66506494,15
CAK,CLT,Table 6,20084,01270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,110.2173913,167.99465483,US,77.41617357,177.94012739,NW,10.355029586,128.46266667,16
CAK,ORD,Table 6,20084,01270,18500,"Akron/Canton, Ohio, USA","Chicago, Illinois, USA",344,52.065217391,190.515762,UA,92.48434238,182.30595937,UA,92.48434238,182.30595937,17
CAK,DFW,Table 6,20084,01270,23210,"Akron/Canton, Ohio, USA","Dallas/Ft.Worth, Texas, USA",1023,55.869565217,185.48459144,DL,41.828793774,178.76939535,DL,41.828793774,178.76939535,18
CAK,DEN,Table 6,20084,01270,24090,"Akron/Canton, Ohio, USA","Denver, Colorado, USA",1224,243.47826087,180.78548214,F9,90.9375,178.72752577,F9,90.9375,178.72752577,19
CAK,FLL,Table 6,20084,01270,29420,"Akron/Canton, Ohio, USA","Ft. Lauderdale, Florida, USA",1026,76.847826087,171.09963225,FL,54.59688826,165.9496114,FL,54.59688826,165.9496114,20
CAK,RSW,Table 6,20084,01270,29540,"Akron/Canton, Ohio, USA","Ft. Myers, Florida, USA",991,157.60869565,153.62832414,FL,90.689655172,152.43185551,FL,90.689655172,152.43185551,21
CAK,GSO,Table 6,20084,01270,33460,"Akron/Canton, Ohio, USA","Greensboro/High Point, Nc, USA",342,18.152173913,150.70473054,US,83.233532934,151.15899281,DL,10.778443114,149.01777778,22
CAK,IAH,Table 6,20084,01270,37320,"Akron/Canton, Ohio, USA","Houston, Texas, USA",1100,54.02173913,162.95486922,DL,56.539235412,143.27775801,DL,56.539235412,143.27775801,23
CAK,JAX,Table 6,20084,01270,40140,"Akron/Canton, Ohio, USA","Jacksonville, Florida, USA",719,38.695652174,175.4786236,FL,41.853932584,166.9642953,FL,41.853932584,166.9642953,24
CAK,MCI,Table 6,20084,01270,42650,"Akron/Canton, Ohio, USA","Kansas City, Missouri, USA",711,12.391304348,199.08157895,DL,35.964912281,216.76658537,NW,15.789473684,175.05,25
CAK,LAS,Table 6,20084,01270,48880,"Akron/Canton, Ohio, USA","Las Vegas, Nevada, USA",1846,108.04347826,158.39375252,DL,33.199195171,146.97654545,DL,33.199195171,146.97654545,26
CAK,LAX,Table 6,20084,01270,51410,"Akron/Canton, Ohio, USA","Los Angeles, California, USA",2073,51.086956522,225.83110638,UA,20,239.36670213,DL,18.936170213,216.47269663,27
CAK,MEM,Table 6,20084,01270,57180,"Akron/Canton, Ohio, USA","Memphis, Tennessee, USA",617,23.152173913,199.7443662,DL,36.61971831,202.51512821,NW,16.901408451,187.40777778,28
CAK,MIA,Table 6,20084,01270,57560,"Akron/Canton, Ohio, USA","Miami, Florida, USA",1044,46.847826087,165.93737819,DL,46.171693735,154.30035176,DL,46.171693735,154.30035176,29
CAK,MKE,Table 6,20084,01270,57850,"Akron/Canton, Ohio, USA","Milwaukee, Wisconsin, USA",361,11.086956522,131.41539216,NW,78.431372549,118.161375,NW,78.431372549,118.161375,30
CAK,MSP,Table 6,20084,01270,57970,"Akron/Canton, Ohio, USA","Minneapolis/St.Paul, Minnesota, USA",657,21.304347826,259.39581633,NW,53.06122449,249.21730769,US,11.224489796,203.69772727,31
CAK,BNA,Table 6,20084,01270,62860,"Akron/Canton, Ohio, USA","Nashville, Tennessee, USA",435,21.956521739,131.08851485,US,39.603960396,150.24175,NW,25.247524752,111.41098039,32
CAK,MSY,Table 6,20084,01270,63580,"Akron/Canton, Ohio, USA","New Orleans, Louisiana, USA",901,20.869565217,204.64036458,FL,38.541666667,221.26310811,DL,32.8125,187.96031746,33
CAK,LGA,Table 6,20084,01270,63760,"Akron/Canton, Ohio, USA","New York, New York, USA",402,366.95652174,117.32065462,FL,95.823459716,115.01886553,FL,95.823459716,115.01886553,34
CAK,ORF,Table 6,20084,01270,64500,"Akron/Canton, Ohio, USA","Norfolk, Virginia, USA",396,18.804347826,125.96624277,US,82.658959538,129.92307692,NW,10.98265896,111.37368421,35
CAK,OKC,Table 6,20084,01270,65840,"Akron/Canton, Ohio, USA","Oklahoma City, Oklahoma, USA",957,10.434782609,180.19791667,DL,62.5,185.54233333,NW,12.5,173.05416667,36
CAK,MCO,Table 6,20084,01270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,260.43478261,142.4443197,FL,84.307178631,140.98191089,FL,84.307178631,140.98191089,37
CAK,PNS,Table 6,20084,01270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,24.347826087,184.2284375,FL,50,175.03714286,FL,50,175.03714286,38
CAK,PHL,Table 6,20084,01270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,37.282608696,210.11495627,US,68.804664723,237.70457627,NW,30.320699708,148.53038462,39
CAK,PHX,Table 6,20084,01270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,58.260869565,188.93065299,F9,24.813432836,178.34586466,FL,17.723880597,174.30968421,40
CAK,PDX,Table 6,20084,01270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,17.282608696,230.22081761,UA,40.880503145,223.848,UA,40.880503145,223.848,41
CAK,PVD,Table 6,20084,01270,73020,"Akron/Canton, Ohio, USA","Providence, Rhode Island, USA",524,15.217391304,122.09578571,US,77.857142857,120.74963303,US,77.857142857,120.74963303,42
CAK,RDU,Table 6,20084,01270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,12.717391304,173.9217094,US,62.393162393,185.53082192,FL,11.111111111,137.57076923,43
CAK,RIC,Table 6,20084,01270,75820,"Akron/Canton, Ohio, USA","Richmond, Virginia, USA",323,11.739130435,138.2912037,US,79.62962963,143.46988372,FL,16.666666667,119.00166667,44
CAK,SMF,Table 6,20084,01270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,16.304347826,230.69593333,F9,52.666666667,220.1264557,UA,26.666666667,209.57775,45
CAK,SLC,Table 6,20084,01270,79070,"Akron/Canton, Ohio, USA","Salt Lake City, Utah, USA",1591,12.5,250.10052174,F9,52.173913043,233.3445,F9,52.173913043,233.3445,46
CAK,SAT,Table 6,20084,01270,79360,"Akron/Canton, Ohio, USA","San Antonio, Texas, USA",1238,34.456521739,168.96772871,DL,40.378548896,169.72859375,FL,26.498422713,167.945,47
CAK,SAN,Table 6,20084,01270,79520,"Akron/Canton, Ohio, USA","San Diego, California, USA",2045,33.043478261,212.72957237,DL,27.960526316,229.82176471,F9,25.657894737,198.33512821,48
CAK,SFO,Table 6,20084,01270,79830,"Akron/Canton, Ohio, USA","San Francisco, California, USA",2187,28.695652174,218.15651515,DL,22.727272727,209.9625,US,15.151515152,206.327,49
CAK,SNA,Table 6,20084,01270,80650,"Akron/Canton, Ohio, USA","Santa Ana, California, USA",2052,14.782608696,236.45933824,DL,43.382352941,232.94050847,DL,43.382352941,232.94050847,50
CAK,SRQ,Table 6,20084,01270,82080,"Akron/Canton, Ohio, USA","Sarasota/Bradenton, Florida, USA",934,32.391304348,156.45432886,FL,47.986577181,140.39636364,FL,47.986577181,140.39636364,51
CAK,SAV,Table 6,20084,01270,82340,"Akron/Canton, Ohio, USA","Savannah, Georgia, USA",606,26.304347826,185.09293388,DL,55.785123967,193.70133333,FL,14.876033058,154.75194444,52
CAK,SEA,Table 6,20084,01270,82630,"Akron/Canton, Ohio, USA","Seattle, Washington, USA",2055,35.217391304,220.16049383,F9,44.444444444,206.745,F9,44.444444444,206.745,53
CAK,TPA,Table 6,20084,01270,87870,"Akron/Canton, Ohio, USA","Tampa, Florida, USA",894,308.04347826,123.65971418,FL,84.403669725,122.13191472,FL,84.403669725,122.13191472,54
CAK,TUS,Table 6,20084,01270,91940,"Akron/Canton, Ohio, USA","Tucson, Arizona, USA",1740,10.217391304,202.9612766,DL,42.553191489,199.14225,F9,12.765957447,185.56833333,55
CAK,PBI,Table 6,20084,01270,97160,"Akron/Canton, Ohio, USA","West Palm Beach, Florida, USA",984,32.391304348,173.4716443,DL,34.899328859,181.09230769,FL,32.214765101,164.1375,56
CAK,ILM,Table 6,20084,01270,97780,"Akron/Canton, Ohio, USA","Wilmington, North Carolina, USA",498,10.326086957,172.32852632,US,87.368421053,172.72951807,DL,9.4736842105,156.29444444,57
ABY,LGA,Table 6,20084,01540,63760,"Albany, Georgia, USA","New York, New York, USA",859,15.217391304,237.75378571,DL,97.142857143,238.22117647,DL,97.142857143,238.22117647,58
ABY,IAD,Table 6,20084,01540,96460,"Albany, Georgia, USA","Washington, D.C., USA",647,18.369565217,284.79757396,DL,98.224852071,283.50801205,DL,98.224852071,283.50801205,59
ALB,ABQ,Table 6,20084,01580,01680,"Albany, New York, USA","Albuquerque, New Mexico, USA",1833,39.891304348,230.03716621,WN,52.04359673,235.16842932,UA,26.158038147,219.01927083,60
ALB,AVL,Table 6,20084,01580,05420,"Albany, New York, USA","Asheville, North Carolina, USA",688,16.304347826,144.97533333,US,57.333333333,160.83639535,NW,14.666666667,100.21,61
ALB,ATL,Table 6,20084,01580,05850,"Albany, New York, USA","Atlanta, Georgia, USA",852,145.10869565,295.55625468,DL,60.449438202,325.97391574,US,24.344569288,237.66270769,62
ALB,AUS,Table 6,20084,01580,06100,"Albany, New York, USA","Austin, Texas, USA",1577,64.891304348,215.44162479,WN,32.998324958,232.28893401,CO,12.730318258,178.03934211,63
ALB,BWI,Table 6,20084,01580,07220,"Albany, New York, USA","Baltimore, Maryland, USA",288,522.17391304,111.66344296,WN,96.461282265,111.02509279,WN,96.461282265,111.02509279,64
ALB,BHM,Table 6,20084,01580,11030,"Albany, New York, USA","Birmingham, Alabama, USA",946,24.130434783,203.55558559,WN,37.387387387,214.99373494,DL,28.378378378,198.7631746,65
ALB,BUR,Table 6,20084,01580,14070,"Albany, New York, USA","Glendale, California, USA",2457,15.97826087,271.5285034,WN,95.918367347,270.08106383,WN,95.918367347,270.08106383,66
ALB,CHS,Table 6,20084,01580,17900,"Albany, New York, USA","Charleston, South Carolina, USA",759,34.02173913,166.54038339,US,63.57827476,172.58547739,DL,19.808306709,154.27403226,67
ALB,CLT,Table 6,20084,01580,17960,"Albany, New York, USA","Charlotte, North Carolina, USA",646,127.7173913,205.70891064,US,66.638297872,238.03711367,NW,10.29787234,119.83950413,68
ALB,MDW,Table 6,20084,01580,18500,"Albany, New York, USA","Chicago, Illinois, USA",723,320.86956522,192.96376016,UA,53.048780488,197.79490421,WN,35.501355014,184.71640267,69
ALB,CVG,Table 6,20084,01580,19270,"Albany, New York, USA","Cincinnati, Ohio, USA",623,37.282608696,289.36638484,DL,76.093294461,304.60528736,US,13.411078717,246.67695652,70
ALB,CLE,Table 6,20084,01580,19770,"Albany, New York, USA","Cleveland, Ohio, USA",424,18.043478261,180.24518072,WN,56.024096386,180.5783871,US,25.301204819,170.9002381,71
ALB,COS,Table 6,20084,01580,20410,"Albany, New York, USA","Colorado Springs, Colorado, USA",1634,11.086956522,224.83647059,UA,84.31372549,230.88732558,DL,5.8823529412,159.29333333,72
