originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
ABR,MSP,Table 6,20082,00210,57970,"Aberdeen, South Dakota, USA","Minneapolis/St.Paul, Minnesota, USA",257,10.989010989,304.3738,NW,100,304.3738,NW,100,304.3738,1
ABI,ATL,Table 6,20082,00300,05850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,13.956043956,231.63559055,AA,95.275590551,225.79512397,AA,95.275590551,225.79512397,2
ABI,BWI,Table 6,20082,00300,07220,"Abilene, Texas, USA","Baltimore, Maryland, USA",1370,10.10989011,363.13771739,AA,93.47826087,359.3077907,AA,93.47826087,359.3077907,3
ABI,ORD,Table 6,20082,00300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,12.967032967,227.22423729,AA,94.915254237,228.68651786,AA,94.915254237,228.68651786,4
ABI,DFW,Table 6,20082,00300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,29.56043956,110.01118959,AA,100,110.01118959,AA,100,110.01118959,5
ABI,DEN,Table 6,20082,00300,24090,"Abilene, Texas, USA","Denver, Colorado, USA",584,10,198.23417582,AA,89.010989011,192.11358025,AA,89.010989011,192.11358025,6
ABI,IAH,Table 6,20082,00300,37320,"Abilene, Texas, USA","Houston, Texas, USA",323,11.648351648,169.12141509,AA,72.641509434,184.94402597,CO,18.867924528,129.751,7
ABI,LAS,Table 6,20082,00300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,14.175824176,247.10713178,AA,93.023255814,242.94816667,AA,93.023255814,242.94816667,8
ABI,LAX,Table 6,20082,00300,51410,"Abilene, Texas, USA","Los Angeles, California, USA",1089,10.549450549,263.75,AA,72.916666667,257.83157143,AA,72.916666667,257.83157143,9
ABI,LGA,Table 6,20082,00300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,13.736263736,265.53264,AA,55.2,264.82536232,AA,55.2,264.82536232,10
ABI,MCO,Table 6,20082,00300,66600,"Abilene, Texas, USA","Orlando, Florida, USA",1128,17.802197802,201.32283951,AA,92.592592593,191.59893333,AA,92.592592593,191.59893333,11
ABI,IAD,Table 6,20082,00300,96460,"Abilene, Texas, USA","Washington, D.C., USA",1345,12.417582418,289.52557522,AA,91.150442478,279.42038835,AA,91.150442478,279.42038835,12
CAK,ABQ,Table 6,20082,01270,01680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,18.901098901,188.27046512,F9,74.418604651,182.1790625,F9,74.418604651,182.1790625,13
CAK,ATL,Table 6,20082,01270,05850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,431.42857143,149.42809221,FL,62.939378502,137.15341157,FL,62.939378502,137.15341157,14
CAK,AUS,Table 6,20082,01270,06100,"Akron/Canton, Ohio, USA","Austin, Texas, USA",1172,10.989010989,231.2327,DL,81,232.19395062,UA,12,231.385,15
CAK,BHM,Table 6,20082,01270,11030,"Akron/Canton, Ohio, USA","Birmingham, Alabama, USA",585,10.549450549,269.16864583,US,48.958333333,262.75042553,US,48.958333333,262.75042553,16
CAK,BOS,Table 6,20082,01270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,267.8021978,113.40589659,FL,90.76733689,110.21712025,FL,90.76733689,110.21712025,17
CAK,CHS,Table 6,20082,01270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,34.065934066,166.16858065,FL,37.419354839,158.75689655,FL,37.419354839,158.75689655,18
CAK,CLT,Table 6,20082,01270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,90.989010989,192.01481884,US,66.183574879,217.92658759,NW,20.169082126,129.29874251,19
CAK,ORD,Table 6,20082,01270,18500,"Akron/Canton, Ohio, USA","Chicago, Illinois, USA",344,65.164835165,183.78846543,UA,92.748735245,182.02578182,UA,92.748735245,182.02578182,20
CAK,DFW,Table 6,20082,01270,23210,"Akron/Canton, Ohio, USA","Dallas/Ft.Worth, Texas, USA",1023,58.681318681,179.50453184,DL,47.191011236,184.88900794,NW,11.985018727,157.984375,21
CAK,DAB,Table 6,20082,01270,23700,"Akron/Canton, Ohio, USA","Daytona Beach, Florida, USA",809,22.307692308,157.57842365,DL,38.42364532,150.19423077,DL,38.42364532,150.19423077,22
CAK,DEN,Table 6,20082,01270,24090,"Akron/Canton, Ohio, USA","Denver, Colorado, USA",1224,209.34065934,161.96501312,F9,88.398950131,154.77194774,F9,88.398950131,154.77194774,23
CAK,FLL,Table 6,20082,01270,29420,"Akron/Canton, Ohio, USA","Ft. Lauderdale, Florida, USA",1026,59.450549451,172.66134935,FL,45.471349353,164.02150407,DL,30.314232902,162.10658537,24
CAK,RSW,Table 6,20082,01270,29540,"Akron/Canton, Ohio, USA","Ft. Myers, Florida, USA",991,84.615384615,159.43906494,FL,68.701298701,157.46143667,FL,68.701298701,157.46143667,25
CAK,GSO,Table 6,20082,01270,33460,"Akron/Canton, Ohio, USA","Greensboro/High Point, Nc, USA",342,12.307692308,176.08,US,40.178571429,195.97644444,NW,30.357142857,154.41852941,26
CAK,GPT,Table 6,20082,01270,34290,"Akron/Canton, Ohio, USA","Gulfport/Biloxi, Mississippi, USA",841,13.296703297,185.73396694,FL,57.851239669,169.92742857,FL,57.851239669,169.92742857,27
CAK,IAH,Table 6,20082,01270,37320,"Akron/Canton, Ohio, USA","Houston, Texas, USA",1100,50.989010989,195.67122845,DL,46.982758621,184.73229358,NW,18.965517241,168.46806818,28
CAK,JAX,Table 6,20082,01270,40140,"Akron/Canton, Ohio, USA","Jacksonville, Florida, USA",719,46.263736264,166.63332542,FL,41.805225653,161.63897727,FL,41.805225653,161.63897727,29
CAK,MCI,Table 6,20082,01270,42650,"Akron/Canton, Ohio, USA","Kansas City, Missouri, USA",711,12.527472527,209.39877193,DL,32.456140351,209.47837838,NW,22.807017544,186.43576923,30
CAK,LAS,Table 6,20082,01270,48880,"Akron/Canton, Ohio, USA","Las Vegas, Nevada, USA",1846,114.61538462,163.30737296,F9,29.817833174,153.0418328,F9,29.817833174,153.0418328,31
