originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
ABI,ATL,Table 6,20083,00300,05850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,11.847826087,228.03238532,AA,92.660550459,224.24178218,AA,92.660550459,224.24178218,1
ABI,ORD,Table 6,20083,00300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,15.543478261,267.57699301,AA,88.111888112,258.34769841,AA,88.111888112,258.34769841,2
ABI,DFW,Table 6,20083,00300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,25.434782609,132.4158547,AA,100,132.4158547,AA,100,132.4158547,3
ABI,LAS,Table 6,20083,00300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,11.413043478,263.31857143,AA,77.142857143,264.39061728,CO,20.952380952,255.99590909,4
ABI,LGA,Table 6,20083,00300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,10.434782609,242.65145833,AA,73.958333333,242.69591549,CO,20.833333333,242.663,5
ABI,MCO,Table 6,20083,00300,66600,"Abilene, Texas, USA","Orlando, Florida, USA",1128,11.847826087,227.99816514,AA,91.743119266,217.3917,AA,91.743119266,217.3917,6
ABI,STL,Table 6,20083,00300,78460,"Abilene, Texas, USA","St. Louis, Missouri, USA",682,11.304347826,194.92384615,AA,100,194.92384615,AA,100,194.92384615,7
ABI,SEA,Table 6,20083,00300,82630,"Abilene, Texas, USA","Seattle, Washington, USA",1577,10,311.68413043,AA,81.52173913,296.8096,AA,81.52173913,296.8096,8
CAK,ABQ,Table 6,20083,01270,01680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,15.760869565,193.88958621,F9,73.103448276,186.81415094,F9,73.103448276,186.81415094,9
CAK,ATL,Table 6,20083,01270,05850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,463.26086957,145.98469967,FL,57.085875176,141.66260995,FL,57.085875176,141.66260995,10
CAK,AUS,Table 6,20083,01270,06100,"Akron/Canton, Ohio, USA","Austin, Texas, USA",1172,16.630434783,199.0227451,DL,78.431372549,195.33758333,DL,78.431372549,195.33758333,11
CAK,BOS,Table 6,20083,01270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,355,117.42062768,FL,92.988364972,115.13638459,FL,92.988364972,115.13638459,12
CAK,CHS,Table 6,20083,01270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,34.456521739,161.30577287,US,48.58044164,162.64701299,FL,30.283911672,151.02229167,13
CAK,CLT,Table 6,20083,01270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,112.7173913,180.1787271,US,68.756027001,198.71214586,NW,14.368370299,129.77201342,14
