ocityname,dcityname,tbl,quart,origincity,destcity,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,orgapt,desapt
"Allentown/Bethlehem/Easton, PA",Dallas/Fort Worth Area 4/,Table 6,20114,30135,30194,1307,45.65217391,224.7267143,US,35.71428571,250.7248,UA,27.14285714,206.9871053,1,ABE,DFW
"Allentown/Bethlehem/Easton, PA","Pittsburgh, PA",Table 6,20114,30135,30198,252,12.2826087,148.1828319,US,71.68141593,155.061358,US,71.68141593,155.061358,2,ABE,PIT
"Allentown/Bethlehem/Easton, PA","Denver, CO",Table 6,20114,30135,30325,1539,17.7173913,298.0244785,UA,34.35582822,315.7658929,DL,24.5398773,203.29625,3,ABE,DEN
"Allentown/Bethlehem/Easton, PA","Atlanta, GA",Table 6,20114,30135,30397,692,90,241.1335749,DL,67.63285024,240.4381964,US,25.60386473,237.0793396,4,ABE,ATL
"Allentown/Bethlehem/Easton, PA","Austin, TX",Table 6,20114,30135,30423,1441,11.63043478,240.4470094,DL,47.6635514,233.1829412,UA,32.71028037,209.1808571,5,ABE,AUS
"Allentown/Bethlehem/Easton, PA","Phoenix, AZ",Table 6,20114,30135,30466,2066,30.32608696,269.7488531,US,56.98924731,304.7,UA,12.18637993,208.285,6,ABE,PHX
"Allentown/Bethlehem/Easton, PA","Seattle, WA",Table 6,20114,30135,30559,2344,19.89130435,297.5209836,DL,29.50819672,269.6677778,DL,29.50819672,269.6677778,7,ABE,SEA
"Allentown/Bethlehem/Easton, PA","Birmingham, AL",Table 6,20114,30135,30599,792,10.65217391,234.554898,DL,44.89795918,216.2884091,DL,44.89795918,216.2884091,8,ABE,BHM
"Allentown/Bethlehem/Easton, PA",Cleveland/Akron Area 4/,Table 6,20114,30135,30647,339,13.15217391,216.5423141,US,39.66942149,265.6054167,UA,32.23140496,172.8574359,9,ABE,CLE
"Allentown/Bethlehem/Easton, PA","Nashville, TN",Table 6,20114,30135,30693,685,17.93478261,213.7889091,US,40.60606061,238.6497015,UA,19.39393939,186.0815625,10,ABE,BNA
"Allentown/Bethlehem/Easton, PA",Boston/Providence/Manchester Area 4/,Table 6,20114,30135,30721,260,10.32608696,329.6165263,US,69.47368421,334.4257576,UA,28.42105263,311.6137037,11,ABE,PVD
"Allentown/Bethlehem/Easton, PA",Baltimore/Washington Area 4/,Table 6,20114,30135,30852,159,18.91304348,210.0847126,UA,74.13793103,213.8271318,US,25.86206897,199.3564444,12,ABE,WAS
"Allentown/Bethlehem/Easton, PA",Chicago Area 4/,Table 6,20114,30135,30977,654,87.17391304,328.1725686,UA,68.0798005,337.8717582,CO,18.57855362,305.2102685,13,ABE,CHI
"Allentown/Bethlehem/Easton, PA","Charlotte, NC",Table 6,20114,30135,31057,481,77.5,219.0220337,US,78.40112202,227.9666369,UA,12.20196353,194.7509195,14,ABE,CLT
"Allentown/Bethlehem/Easton, PA","Columbus, OH",Table 6,20114,30135,31066,396,19.45652174,182.4984358,US,64.24581006,174.8278261,US,64.24581006,174.8278261,15,ABE,CMH
"Allentown/Bethlehem/Easton, PA","St. Louis, MO",Table 6,20114,30135,31123,805,18.26086957,241.4584524,US,35.11904762,245.3128814,DL,14.88095238,220.5188,16,ABE,STL
"Allentown/Bethlehem/Easton, PA","Myrtle Beach, SC",Table 6,20114,30135,31135,518,11.08695652,180.0185294,US,91.17647059,180.3309677,CO,2.941176471,153.86,17,ABE,MYR
"Allentown/Bethlehem/Easton, PA","Jacksonville, FL",Table 6,20114,30135,31136,783,25.10869565,180.6520779,US,57.14285714,188.4206818,UA,25.54112554,157.3264407,18,ABE,JAX
"Allentown/Bethlehem/Easton, PA","Dayton, OH",Table 6,20114,30135,31267,467,10.97826087,182.1068317,US,49.5049505,178.0306,US,49.5049505,178.0306,19,ABE,DAY
"Allentown/Bethlehem/Easton, PA","Detroit, MI",Table 6,20114,30135,31295,425,27.5,346.5339921,DL,67.98418972,364.958314,US,28.85375494,297.3510959,20,ABE,DTW
"Allentown/Bethlehem/Easton, PA","Houston, TX",Table 6,20114,30135,31453,1350,28.80434783,253.018717,DL,31.69811321,200.7272619,DL,31.69811321,200.7272619,21,ABE,IAH
"Allentown/Bethlehem/Easton, PA","Orlando, FL",Table 6,20114,30135,31454,906,366.3043478,140.9562878,FL,88.01186944,136.4355765,FL,88.01186944,136.4355765,22,ABE,MCO
