ocityname,dcityname,tbl,quart,origincity,destcity,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,orgapt,desapt
"Allentown/Bethlehem/Easton, PA","Albuquerque, NM",Table 6,20113,30135,30140,1738,11.73913044,240.1863889,UA,52.77777778,225.3635088,AA,12.03703704,215.8438462,1,ABE,ABQ
"Allentown/Bethlehem/Easton, PA",Dallas/Fort Worth Area 4/,Table 6,20113,30135,30194,1307,46.52173913,243.5020561,UA,26.1682243,227.06625,DL,25.46728972,197.9354128,2,ABE,DFW
"Allentown/Bethlehem/Easton, PA","Pittsburgh, PA",Table 6,20113,30135,30198,252,11.95652174,163.085,US,81.81818182,168.2093333,US,81.81818182,168.2093333,3,ABE,PIT
"Allentown/Bethlehem/Easton, PA","Denver, CO",Table 6,20113,30135,30325,1539,33.58695652,247.5808091,UA,40.12944984,258.6658065,DL,19.74110032,185.8632787,4,ABE,DEN
"Allentown/Bethlehem/Easton, PA","Atlanta, GA",Table 6,20113,30135,30397,692,86.95652174,232.8830875,DL,80.125,229.0163183,DL,80.125,229.0163183,5,ABE,ATL
"Allentown/Bethlehem/Easton, PA","Austin, TX",Table 6,20113,30135,30423,1441,10.76086957,264.7965657,DL,42.42424242,245.8145238,DL,42.42424242,245.8145238,6,ABE,AUS
"Allentown/Bethlehem/Easton, PA","Phoenix, AZ",Table 6,20113,30135,30466,2066,38.04347826,231.2274571,US,38,282.1491729,DL,24.57142857,203.6805814,7,ABE,PHX
"Allentown/Bethlehem/Easton, PA","Seattle, WA",Table 6,20113,30135,30559,2344,35.86956522,287.6395758,US,30.60606061,286.7612871,AA,10.60606061,238.9422857,8,ABE,SEA
"Allentown/Bethlehem/Easton, PA","Birmingham, AL",Table 6,20113,30135,30599,792,10.86956522,211.821,DL,55,191.9950909,DL,55,191.9950909,9,ABE,BHM
"Allentown/Bethlehem/Easton, PA","Nashville, TN",Table 6,20113,30135,30693,685,18.91304348,218.8272989,DL,37.35632184,216.0272308,UA,17.24137931,199.7246667,10,ABE,BNA
"Allentown/Bethlehem/Easton, PA",Baltimore/Washington Area 4/,Table 6,20113,30135,30852,159,12.93478261,254.9285714,UA,84.87394958,261.7809901,US,14.28571429,215.4105882,11,ABE,WAS
"Allentown/Bethlehem/Easton, PA",Chicago Area 4/,Table 6,20113,30135,30977,654,114.3478261,307.7358745,UA,67.96577947,321.5765455,AA,15.87452472,259.5335928,12,ABE,CHI
"Allentown/Bethlehem/Easton, PA","Charlotte, NC",Table 6,20113,30135,31057,481,66.73913044,234.2041694,US,77.19869707,242.8203376,UA,12.86644951,213.9464557,13,ABE,CLT
"Allentown/Bethlehem/Easton, PA","Columbus, OH",Table 6,20113,30135,31066,396,21.73913044,180.10535,US,57,194.6085965,UA,23.5,150.1840426,14,ABE,CMH
"Allentown/Bethlehem/Easton, PA","St. Louis, MO",Table 6,20113,30135,31123,805,22.82608696,225.3232381,UA,37.14285714,223.9,DL,20.95238095,203.0197727,15,ABE,STL
"Allentown/Bethlehem/Easton, PA","Myrtle Beach, SC",Table 6,20113,30135,31135,518,81.08695652,93.63612601,G4,88.47184987,81.95459091,G4,88.47184987,81.95459091,16,ABE,MYR
"Allentown/Bethlehem/Easton, PA","Jacksonville, FL",Table 6,20113,30135,31136,783,24.02173913,180.0947511,US,56.10859729,188.9315323,UA,30.76923077,162.1405882,17,ABE,JAX
"Allentown/Bethlehem/Easton, PA","Dayton, OH",Table 6,20113,30135,31267,467,14.02173913,175.4543411,US,49.6124031,180.1670313,UA,34.88372093,165.0426667,18,ABE,DAY
"Allentown/Bethlehem/Easton, PA","Detroit, MI",Table 6,20113,30135,31295,425,36.19565217,351.2881081,DL,68.46846847,370.4227193,US,27.32732733,309.3481319,19,ABE,DTW
"Allentown/Bethlehem/Easton, PA","Houston, TX",Table 6,20113,30135,31453,1350,34.23913044,243.9735556,DL,44.76190476,197.8600709,DL,44.76190476,197.8600709,20,ABE,IAH
"Allentown/Bethlehem/Easton, PA","Orlando, FL",Table 6,20113,30135,31454,906,382.5,126.2394771,FL,89.1162262,121.6472513,FL,89.1162262,121.6472513,21,ABE,MCO
"Allentown/Bethlehem/Easton, PA","Minneapolis, MN",Table 6,20113,30135,31650,948,54.67391304,229.9399801,DL,40.7554672,207.6797561,DL,40.7554672,207.6797561,22,ABE,MSP
"Allentown/Bethlehem/Easton, PA","Fort Myers, FL",Table 6,20113,30135,31714,1038,18.80434783,189.876474,US,62.42774567,185.5544444,US,62.42774567,185.5544444,23,ABE,RSW
"Allentown/Bethlehem/Easton, PA","Greer, SC",Table 6,20113,30135,31871,543,10.54347826,230.5065979,US,51.54639175,238.309,UA,22.68041237,211.4772727,24,ABE,GSP
"Allentown/Bethlehem/Easton, PA","Greensboro/High Point, NC",Table 6,20113,30135,31995,398,15,170.7697826,US,81.15942029,173.6183036,UA,16.66666667,163.9073913,25,ABE,GSO
"Allentown/Bethlehem/Easton, PA","Las Vegas, NV",Table 6,20113,30135,32211,2161,43.80434783,233.5689082,UA,32.00992556,213.9766667,AA,22.58064516,179.0746154,26,ABE,LAS
"Allentown/Bethlehem/Easton, PA","Indianapolis, IN",Table 6,20113,30135,32337,578,23.26086957,210.2465888,UA,34.11214953,226.9641096,DL,28.5046729,185.3090164,27,ABE,IND
"Allentown/Bethlehem/Easton, PA",San Fran./Oakland Area 4/,Table 6,20113,30135,32457,2500,55.76086957,307.1709552,UA,61.98830409,286.1209434,UA,61.98830409,286.1209434,28,ABE,SFO
"Allentown/Bethlehem/Easton, PA",Miami/Ft. Lauderdale Area 4/,Table 6,20113,30135,32467,1061,52.2826087,186.5912058,US,63.61746362,190.4238889,DL,24.11642412,179.3419828,29,ABE,MIA
"Allentown/Bethlehem/Easton, PA","Santa Ana, CA",Table 6,20113,30135,32575,2388,56.63043478,306.7219194,UA,40.11516315,305.3586124,AA,15.93090211,251.4754217,30,ABE,SNA
"Allentown/Bethlehem/Easton, PA","Louisville, KY",Table 6,20113,30135,33044,576,14.23913044,218.5649618,US,45.03816794,233.519661,DL,29.77099237,194.7651282,31,ABE,SDF
"Allentown/Bethlehem/Easton, PA","Cincinnati, KY",Table 6,20113,30135,33105,503,11.63043478,255.0215888,US,39.25233645,242.8528571,UA,24.29906542,241.5315385,32,ABE,CVG
"Allentown/Bethlehem/Easton, PA","Sacramento, CA",Table 6,20113,30135,33192,2436,12.5,275.5375652,UA,48.69565217,278.0132143,UA,48.69565217,278.0132143,33,ABE,SMF
"Allentown/Bethlehem/Easton, PA","Tampa, FL",Table 6,20113,30135,33195,970,155.8695652,128.7043305,G4,74.19804742,110.9082895,G4,74.19804742,110.9082895,34,ABE,TPA
"Allentown/Bethlehem/Easton, PA","Kansas City, MO",Table 6,20113,30135,33198,1025,24.89130435,202.4070742,UA,29.25764192,206.1804478,DL,23.58078603,186.4007407,35,ABE,MCI
"Allentown/Bethlehem/Easton, PA","San Antonio, TX",Table 6,20113,30135,33214,1506,15.32608696,241.9934752,DL,31.20567376,244.7704546,AA,14.89361702,216.2552381,36,ABE,SAT
"Allentown/Bethlehem/Easton, PA","Memphis, TN",Table 6,20113,30135,33244,883,19.34782609,189.1814045,DL,46.62921348,187.5798795,UA,27.52808989,165.8240816,37,ABE,MEM
"Allentown/Bethlehem/Easton, PA","Omaha, NE",Table 6,20113,30135,33316,1068,10,228.5216304,DL,52.17391304,208.0566667,DL,52.17391304,208.0566667,38,ABE,OMA
